單字,假名,中文,來源
あ,あ,啊；噢,https://jlptsensei.com/jlpt-n4-vocabulary-list/
ああ,ああ,是；好的,https://jlptsensei.com/jlpt-n4-vocabulary-list/
アフリカ,アフリカ,非洲,https://jlptsensei.com/jlpt-n4-vocabulary-list/
上がる,あがる,上升；提高,https://jlptsensei.com/jlpt-n4-vocabulary-list/
挨拶,あいさつ,打招呼；問候,https://jlptsensei.com/jlpt-n4-vocabulary-list/
味,あじ,味道；風味,https://jlptsensei.com/jlpt-n4-vocabulary-list/
アジア,アジア,亞洲,https://jlptsensei.com/jlpt-n4-vocabulary-list/
赤ちゃん,あかちゃん,嬰兒,https://jlptsensei.com/jlpt-n4-vocabulary-list/
赤ん坊,あかんぼう,嬰兒,https://jlptsensei.com/jlpt-n4-vocabulary-list/
アクセサリー,アクセサリー,配件；首飾,https://jlptsensei.com/jlpt-n4-vocabulary-list/
アメリカ,アメリカ,美國,https://jlptsensei.com/jlpt-n4-vocabulary-list/
アナウンサー,アナウンサー,主播；播音員,https://jlptsensei.com/jlpt-n4-vocabulary-list/
あんな,あんな,那種；那樣的,https://jlptsensei.com/jlpt-n4-vocabulary-list/
案内,あんない,引導；帶路,https://jlptsensei.com/jlpt-n4-vocabulary-list/
安心,あんしん,安心；放心,https://jlptsensei.com/jlpt-n4-vocabulary-list/
安全,あんぜん,安全,https://jlptsensei.com/jlpt-n4-vocabulary-list/
アルバイト,アルバイト,打工；兼職,https://jlptsensei.com/jlpt-n4-vocabulary-list/
アルコール,アルコール,酒精,https://jlptsensei.com/jlpt-n4-vocabulary-list/
浅い,あさい,淺的,https://jlptsensei.com/jlpt-n4-vocabulary-list/
遊び,あそび,遊玩；遊戲,https://jlptsensei.com/jlpt-n4-vocabulary-list/
集まる,あつまる,聚集；集合,https://jlptsensei.com/jlpt-n4-vocabulary-list/
集める,あつめる,收集；召集,https://jlptsensei.com/jlpt-n4-vocabulary-list/
謝る,あやまる,道歉,https://jlptsensei.com/jlpt-n4-vocabulary-list/
倍,ばい,倍；雙倍,https://jlptsensei.com/jlpt-n4-vocabulary-list/
番組,ばんぐみ,節目；節目,https://jlptsensei.com/jlpt-n4-vocabulary-list/
場所,ばしょ,場所；位置,https://jlptsensei.com/jlpt-n4-vocabulary-list/
ベル,ベル,鈴；門鈴,https://jlptsensei.com/jlpt-n4-vocabulary-list/
美術館,びじゅつかん,美術館,https://jlptsensei.com/jlpt-n4-vocabulary-list/
びっくり,びっくり,吃驚,https://jlptsensei.com/jlpt-n4-vocabulary-list/
ビル,ビル,大樓；大廈,https://jlptsensei.com/jlpt-n4-vocabulary-list/
僕,ぼく,我（男性自稱）,https://jlptsensei.com/jlpt-n4-vocabulary-list/
貿易,ぼうえき,貿易,https://jlptsensei.com/jlpt-n4-vocabulary-list/
部長,ぶちょう,部長；部門主管,https://jlptsensei.com/jlpt-n4-vocabulary-list/
ぶどう,ぶどう,葡萄,https://jlptsensei.com/jlpt-n4-vocabulary-list/
文学,ぶんがく,文學,https://jlptsensei.com/jlpt-n4-vocabulary-list/
文化,ぶんか,文化,https://jlptsensei.com/jlpt-n4-vocabulary-list/
文法,ぶんぽう,文法,https://jlptsensei.com/jlpt-n4-vocabulary-list/
ちゃん,ちゃん,醬（接尾詞）,https://jlptsensei.com/jlpt-n4-vocabulary-list/
チェック,チェック,確認；檢查,https://jlptsensei.com/jlpt-n4-vocabulary-list/
血,ち,血；血液,https://jlptsensei.com/jlpt-n4-vocabulary-list/
力,ちから,力量；力氣,https://jlptsensei.com/jlpt-n4-vocabulary-list/
地理,ちり,地理,https://jlptsensei.com/jlpt-n4-vocabulary-list/
中学校,ちゅうがっこう,中學,https://jlptsensei.com/jlpt-n4-vocabulary-list/
注意,ちゅうい,注意；當心,https://jlptsensei.com/jlpt-n4-vocabulary-list/
注射,ちゅうしゃ,注射；打針,https://jlptsensei.com/jlpt-n4-vocabulary-list/
駐車場,ちゅうしゃじょう,停車場,https://jlptsensei.com/jlpt-n4-vocabulary-list/
大分,だいぶ,相當；頗,https://jlptsensei.com/jlpt-n4-vocabulary-list/
大学生,だいがくせい,大學生,https://jlptsensei.com/jlpt-n4-vocabulary-list/
大事,だいじ,重要；寶貴,https://jlptsensei.com/jlpt-n4-vocabulary-list/
大体,大概,大致；大概,https://jlptsensei.com/jlpt-n4-vocabulary-list/
暖房,だんぼう,暖氣,https://jlptsensei.com/jlpt-n4-vocabulary-list/
男性,だんせい,男性,https://jlptsensei.com/jlpt-n4-vocabulary-list/
できるだけ,できるだけ,盡可能,https://jlptsensei.com/jlpt-n4-vocabulary-list/
電報,でんぽう,電報,https://jlptsensei.com/jlpt-n4-vocabulary-list/
電灯,でんとう,電燈,https://jlptsensei.com/jlpt-n4-vocabulary-list/
どんどん,どんどん,迅速；越來越多,https://jlptsensei.com/jlpt-n4-vocabulary-list/
泥棒,どろぼう,小偷,https://jlptsensei.com/jlpt-n4-vocabulary-list/
动物园,どうぶつえん,動物園,https://jlptsensei.com/jlpt-n4-vocabulary-list/
道具,どうぐ,工具,https://jlptsensei.com/jlpt-n4-vocabulary-list/
枝,えだ,樹枝,https://jlptsensei.com/jlpt-n4-vocabulary-list/
遠慮,えんりょ,遠慮；客氣,https://jlptsensei.com/jlpt-n4-vocabulary-list/
選ぶ,えらぶ,選擇,https://jlptsensei.com/jlpt-n4-vocabulary-list/
エスカレーター,エスカレーター,手扶梯,https://jlptsensei.com/jlpt-n4-vocabulary-list/
ファックス,ファックス,傳真,https://jlptsensei.com/jlpt-n4-vocabulary-list/
不便,ふべん,不便,https://jlptsensei.com/jlpt-n4-vocabulary-list/
増える,ふえる,增加,https://jlptsensei.com/jlpt-n4-vocabulary-list/
深い,ふかい,深的,https://jlptsensei.com/jlpt-n4-vocabulary-list/
復習,ふくしゅう,複習,https://jlptsensei.com/jlpt-n4-vocabulary-list/
複雑,ふくざつ,複雜,https://jlptsensei.com/jlpt-n4-vocabulary-list/
踏む,ふむ,踩；踏,https://jlptsensei.com/jlpt-n4-vocabulary-list/
船,ふね,船,https://jlptsensei.com/jlpt-n4-vocabulary-list/
降り出す,ふりだす,開始下雨,https://jlptsensei.com/jlpt-n4-vocabulary-list/
布団,ふとん,棉被,https://jlptsensei.com/jlpt-n4-vocabulary-list/
太る,ふとる,變胖,https://jlptsensei.com/jlpt-n4-vocabulary-list/
普通,ふつう,普通,https://jlptsensei.com/jlpt-n4-vocabulary-list/
ガラス,ガラス,玻璃,https://jlptsensei.com/jlpt-n4-vocabulary-list/
ガソリン,ガソリン,汽油,https://jlptsensei.com/jlpt-n4-vocabulary-list/
ガソリンスタンド,ガソリンスタンド,加油站,https://jlptsensei.com/jlpt-n4-vocabulary-list/
ガス,ガス,瓦斯,https://jlptsensei.com/jlpt-n4-vocabulary-list/
原因,げんいん,原因,https://jlptsensei.com/jlpt-n4-vocabulary-list/
下宿,げしゅく,寄宿；投宿,https://jlptsensei.com/jlpt-n4-vocabulary-list/
技術,ぎじゅつ,技術,https://jlptsensei.com/jlpt-n4-vocabulary-list/
ごちそう,ごちそう,款待；請客,https://jlptsensei.com/jlpt-n4-vocabulary-list/
ごみ,ごみ,垃圾,https://jlptsensei.com/jlpt-n4-vocabulary-list/
ご覧になる,ごらんになる,（敬語）看,https://jlptsensei.com/jlpt-n4-vocabulary-list/
ご主人,ごしゅじん,您先生,https://jlptsensei.com/jlpt-n4-vocabulary-list/
ご存じ,ごぞんじ,（敬語）知道,https://jlptsensei.com/jlpt-n4-vocabulary-list/
具合,ぐあい,情況；狀況,https://jlptsensei.com/jlpt-n4-vocabulary-list/
葉,は,葉子,https://jlptsensei.com/jlpt-n4-vocabulary-list/
拝見,はいけん,（敬語）看,https://jlptsensei.com/jlpt-n4-vocabulary-list/
歯医者,はいしゃ,牙醫,https://jlptsensei.com/jlpt-n4-vocabulary-list/
はっきり,はっきり,清楚,https://jlptsensei.com/jlpt-n4-vocabulary-list/
運ぶ,はこぶ,搬運,https://jlptsensei.com/jlpt-n4-vocabulary-list/
花見,はなみ,賞櫻,https://jlptsensei.com/jlpt-n4-vocabulary-list/
ハンドバッグ,ハンドバッグ,手提包,https://jlptsensei.com/jlpt-n4-vocabulary-list/
反対,はんたい,反對,https://jlptsensei.com/jlpt-n4-vocabulary-list/
払う,はらう,支付,https://jlptsensei.com/jlpt-n4-vocabulary-list/
発音,はつおん,發音,https://jlptsensei.com/jlpt-n4-vocabulary-list/
林,はやし,樹林,https://jlptsensei.com/jlpt-n4-vocabulary-list/
恥ずかしい,はずかしい,害羞,https://jlptsensei.com/jlpt-n4-vocabulary-list/
