單字,假名,中文,來源
あ,あ,啊；噢,https://jlptsensei.com/jlpt-n4-vocabulary-list/
ああ,ああ,是；好的,https://jlptsensei.com/jlpt-n4-vocabulary-list/
アフリカ,アフリカ,非洲,https://jlptsensei.com/jlpt-n4-vocabulary-list/
上がる,あがる,上升；提高,https://jlptsensei.com/jlpt-n4-vocabulary-list/
挨拶,あいさつ,打招呼；問候,https://jlptsensei.com/jlpt-n4-vocabulary-list/
味,あじ,味道；風味,https://jlptsensei.com/jlpt-n4-vocabulary-list/
アジア,アジア,亞洲,https://jlptsensei.com/jlpt-n4-vocabulary-list/
赤ちゃん,あかちゃん,嬰兒,https://jlptsensei.com/jlpt-n4-vocabulary-list/
赤ん坊,あかんぼう,嬰兒,https://jlptsensei.com/jlpt-n4-vocabulary-list/
アクセサリー,アクセサリー,配件；首飾,https://jlptsensei.com/jlpt-n4-vocabulary-list/
アメリカ,アメリカ,美國,https://jlptsensei.com/jlpt-n4-vocabulary-list/
アナウンサー,アナウンサー,主播；播音員,https://jlptsensei.com/jlpt-n4-vocabulary-list/
あんな,あんな,那種；那樣的,https://jlptsensei.com/jlpt-n4-vocabulary-list/
案内,あんない,引導；帶路,https://jlptsensei.com/jlpt-n4-vocabulary-list/
安心,あんしん,安心；放心,https://jlptsensei.com/jlpt-n4-vocabulary-list/
安全,あんぜん,安全,https://jlptsensei.com/jlpt-n4-vocabulary-list/
アルバイト,アルバイト,打工；兼職,https://jlptsensei.com/jlpt-n4-vocabulary-list/
アルコール,アルコール,酒精,https://jlptsensei.com/jlpt-n4-vocabulary-list/
浅い,あさい,淺的,https://jlptsensei.com/jlpt-n4-vocabulary-list/
遊び,あそび,遊玩；遊戲,https://jlptsensei.com/jlpt-n4-vocabulary-list/
集まる,あつまる,聚集；集合,https://jlptsensei.com/jlpt-n4-vocabulary-list/
集める,あつめる,收集；召集,https://jlptsensei.com/jlpt-n4-vocabulary-list/
謝る,あやまる,道歉,https://jlptsensei.com/jlpt-n4-vocabulary-list/
倍,ばい,倍；雙倍,https://jlptsensei.com/jlpt-n4-vocabulary-list/
番組,ばんぐみ,節目；節目,https://jlptsensei.com/jlpt-n4-vocabulary-list/
場所,ばしょ,場所；位置,https://jlptsensei.com/jlpt-n4-vocabulary-list/
ベル,ベル,鈴；門鈴,https://jlptsensei.com/jlpt-n4-vocabulary-list/
美術館,びじゅつかん,美術館,https://jlptsensei.com/jlpt-n4-vocabulary-list/
びっくり,びっくり,吃驚,https://jlptsensei.com/jlpt-n4-vocabulary-list/
ビル,ビル,大樓；大廈,https://jlptsensei.com/jlpt-n4-vocabulary-list/
僕,ぼく,我（男性自稱）,https://jlptsensei.com/jlpt-n4-vocabulary-list/
貿易,ぼうえき,貿易,https://jlptsensei.com/jlpt-n4-vocabulary-list/
部長,ぶちょう,部長；部門主管,https://jlptsensei.com/jlpt-n4-vocabulary-list/
ぶどう,ぶどう,葡萄,https://jlptsensei.com/jlpt-n4-vocabulary-list/
文学,ぶんがく,文學,https://jlptsensei.com/jlpt-n4-vocabulary-list/
文化,ぶんか,文化,https://jlptsensei.com/jlpt-n4-vocabulary-list/
文法,ぶんぽう,文法,https://jlptsensei.com/jlpt-n4-vocabulary-list/
ちゃん,ちゃん,醬（接尾詞）,https://jlptsensei.com/jlpt-n4-vocabulary-list/
チェック,チェック,確認；檢查,https://jlptsensei.com/jlpt-n4-vocabulary-list/
血,ち,血；血液,https://jlptsensei.com/jlpt-n4-vocabulary-list/
力,ちから,力量；力氣,https://jlptsensei.com/jlpt-n4-vocabulary-list/
地理,ちり,地理,https://jlptsensei.com/jlpt-n4-vocabulary-list/
中学校,ちゅうがっこう,中學,https://jlptsensei.com/jlpt-n4-vocabulary-list/
注意,ちゅうい,注意；當心,https://jlptsensei.com/jlpt-n4-vocabulary-list/
注射,ちゅうしゃ,注射；打針,https://jlptsensei.com/jlpt-n4-vocabulary-list/
駐車場,ちゅうしゃじょう,停車場,https://jlptsensei.com/jlpt-n4-vocabulary-list/
大分,だいぶ,相當；頗,https://jlptsensei.com/jlpt-n4-vocabulary-list/
大学生,だいがくせい,大學生,https://jlptsensei.com/jlpt-n4-vocabulary-list/
大事,だいじ,重要；寶貴,https://jlptsensei.com/jlpt-n4-vocabulary-list/
大体,大概,大致；大概,https://jlptsensei.com/jlpt-n4-vocabulary-list/
