葉書	はがき	postcard
はく	はく	to put on (items below your waist)
箸	はし	chopsticks
始まる	はじまる	(something) begins
初め; 始め	はじめ	beginning
初めて	はじめて	for the first time
走る	はしる	to run
バター	バター	butter
二十歳	はたち	20 years old
働く	はたらく	to work
八	はち	eight
二十日	はつか	twenty days
話	はなし	talk (chat)
話す	はなす	to speak
早い	はやい	early
速い	はやい	fast
貼る	はる	to post; to paste; to attach
晴れ	はれ	clear (sunny) weather
晴れる	はれる	to be sunny
半	はん	half (e.g.
晩	ばん	evening
～番	～ばん	~st; ~th best
ハンカチ	ハンカチ	handkerchief
番号	ばんごう	number
晩御飯	ばんごはん	dinner
半分	はんぶん	half
東	ひがし	east
～匹	～ひき	counter for small animals
引く	ひく	to pull
弾く	ひく	to play (a string instrument or piano)
低い	ひくい	short
左	ひだり	left hand side
人	ひと	man
一つ	ひとつ	one thing
一月	ひとつき	one month
一人	ひとり	one person
百	ひゃく	hundred
平仮名	ひらがな	hiragana
昼	ひる	noon
昼御飯	ひるごはん	lunch
広い	ひろい	spacious; wide; broad
フィルム	フィルム	film (roll of)
封筒	ふうとう	envelope
プール	プール	swimming pool
フォーク	フォーク	fork
吹く	ふく	to blow (wind
二つ	ふたつ	two things
豚肉	ぶたにく	pork
二人	ふたり	two people
二日	ふつか	two days; second day of the month
太い	ふとい	fat
降る	ふる	to precipitate
古い	ふるい	old (in reference to objects
～分	～ふん	~ minutes
文章	ぶんしょう	sentence
ページ	ページ	a page
ベッド	ベッド	bed
ペット	ペット	pet
部屋	へや	a room
辺	へん	area
ペン	ペン	pen
勉強	べんきょう (する)	study
帽子	ぼうし	hat; cap
ポケット	ポケット	pocket
欲しい	ほしい	to want
ポスト	ポスト	mailbox; post
細い	ほそい	thin
ボタン	ボタン	button
ホテル	ホテル	hotel
～本	～ほん	counter for long cylindrical things
～枚	～まい	counter for flat things
毎月	まいげつ; まいつき	every month
