毎年	まいねん; まいとし	every year
前	まえ	before
～前	～まえ	in front of ~
曲る	まがる	to turn
まだ	まだ	yet
町	まち	town; city
待つ	まつ	to wait
まっすぐ	まっすぐ	straight (ahead)
マッチ	マッチ	match
丸い; 円い	まるい	round
万	まん	ten thousand
万年筆	まんねんひつ	fountain pen
磨く	みがく	to brush (teeth); to polish
短い	みじかい	short (length)
店	みせ	store
見せる	みせる	to show
三日	みっか	three days
三つ	みっつ	three things
皆さん	みなさん	all of you
南	みなみ	South
耳	みみ	ear
見る	みる	to see
六日	むいか	six days; sixth day of month
向こう	むこう	beyond
難しい	むずかしい	difficult
六つ	むっつ	six things
村	むら	village
メートル	メートル	meter
もう	もう	already; again; more
持つ	もつ	to hold
門	もん	gate
～屋	～や	~ shop
八百屋	やおや	greengrocer
野菜	やさい	vegetable
易しい	やさしい	easy
安い	やすい	inexpensive; cheap (things)
休み	やすみ	holiday; day off; absence
休む	やすむ	to rest
八つ	やっつ	eight things
やる	やる	to do; to give (to pets
夕飯	ゆうはん	dinner
昨夜	ゆうべ	last night
雪	ゆき	snow
ゆっくりと	ゆっくりと	slowly
八日	ようか	eight days; eighth day of the month
よく	よく	frequently
四日	よっか	four days; fourth day of the month
四つ	よっつ	four things
呼ぶ	よぶ	to call (one's name); to invite
読む	よむ	to read
夜	よる	evening
弱い	よわい	weak
来年	らいねん	next year
ラジオ	ラジオ	radio
ラジオカセ	ラジオカセ	radio cassette player
りっぱ	りっぱ	splendid
零	れい	zero
冷蔵庫	れいぞうこ	refrigerator
レコード	レコード	record
レストラン	レストラン	restaurant
練習	れんしゅう (する)	(to) practice
廊下	ろうか	corridor
六	ろく	six
ワイシャツ	ワイシャツ	shirt (lit: white shirt)
若い	わかい	young
分かる	わかる	to understand
忘れる	わすれる	to forget
私	わたし	I
私	わたくし	I (formal)
渡す	わたす	to hand (something) over (v.t.); to get across
渡る	わたる	to cross over
悪い	わるい	bad
